id,hump_id,locator_address_number,locator_street,pavement,speed_hump_material,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
430808404,1,4337,Saline St,9257,Asphalt,Squirrel Hill South,5,14,42003141400,3,14,4,2-15,40.41983539,-79.92606219
1520886592,2,,Summerset Dr,15346,,Squirrel Hill South,5,14,42003141400,3,14,4,2-20,40.42503987,-79.91204011
858537521,3,511,Gold Way,1755,Asphalt,North Oakland,6,5,42003562000,3,5,4,2-23,40.45674594,-79.95452062
297775878,4,547,Gold Way,1755,Asphalt,North Oakland,6,5,42003562000,3,5,4,2-23,40.45733303,-79.95489881
1061197751,5,593,Gold Way,1755,Asphalt,North Oakland,6,5,42003562000,3,5,4,2-23,40.45806111,-79.95535481
25169591,10,4224,Saline St,4673,Asphalt,Squirrel Hill South,5,15,42003141400,3,15,4,2-15,40.42223941,-79.92620811
2056880845,11,2146,Jacob St,17688,Asphalt,Brookline,4,32,42003320600,5,32,6,4-25,40.39164294,-79.99930683
1735565853,12,2082,Jacob St,17688,Asphalt,Brookline,4,32,42003320600,5,32,6,4-25,40.39242535,-79.99925855
857069875,13,2013,Jacob St,17688,Asphalt,Brookline,4,32,42003320600,5,32,6,4-25,40.39326444,-79.99940138
1822275525,14,1937,Jacob St,17688,Asphalt,Brookline,4,32,42003320600,5,32,6,4-25,40.39417961,-79.99961059
185819892,15,5334,Darlington Rd,11054,Asphalt,Squirrel Hill South,5,14,42003980500,3,14,4,2-21,40.43685206,-79.9338552
1324735109,16,5362,Darlington Rd,11054,Asphalt,Squirrel Hill South,5,14,42003980500,3,14,4,2-21,40.43628254,-79.93372908
767516949,17,257,Edmond St,11675,Asphalt,Bloomfield,7,8,42003080900,2,8,5,3-6,40.46352433,-79.94772456
659399120,18,233,Edmond St,11675,Asphalt,Bloomfield,7,8,42003080900,2,8,5,3-6,40.46424366,-79.947628
2099745550,19,211,Edmond St,14837,Asphalt,Bloomfield,7,8,42003080900,2,8,5,3-6,40.46489463,-79.94752876
169785827,20,3417,Melwood Ave,4487,Asphalt,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45874023,-79.96223286
542678312,21,3549,Melwood Ave,15250,Asphalt,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45935854,-79.96071369
1766344814,22,3628,Melwood Ave,15250,Asphalt,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45975221,-79.95953604
1987150310,23,3807,Melwood Ave,14629,Asphalt,Polish Hill,7,6,42003060500,6,6,2,2-6,40.46005664,-79.95710978
1604696067,24,677,Gold Way,1755,Asphalt,North Oakland,6,5,42003562000,3,5,4,2-23,40.45934535,-79.95620859
1048001283,25,3320,Melwood Ave,1781,Asphalt,Polish Hill,7,6,42003060500,6,6,2,2-6,40.45829724,-79.96328183
504225575,26,3716,Melwood Ave,14629,Asphalt,Polish Hill,7,6,42003060500,6,6,2,2-6,40.46001458,-79.95825201
1043573391,6,4017,Saline St,18618,Asphalt,Squirrel Hill South,5,15,42003141400,3,15,4,2-15,40.42480381,-79.92587941
27058676,7,4087,Saline St,18618,Asphalt,Squirrel Hill South,5,15,42003141400,3,15,4,2-15,40.423766,-79.92621714
1858275712,8,4305,Saline St,9257,Asphalt,Squirrel Hill South,5,15,42003141400,3,15,4,2-15,40.42085365,-79.92612279
368363598,9,4321,Saline St,9257,Asphalt,Squirrel Hill South,5,15,42003141400,3,15,4,2-15,40.42031865,-79.92609865
915266693,27,7258,Finance St,13905,Asphalt,Homewood South,9,13,42003130300,2,13,5,3-17,40.452642,-79.89756431
1459072736,28,7351,Finance St,15567,Asphalt,Homewood South,9,13,42003130300,2,13,5,3-17,40.45212766,-79.89625539
769108618,29,7444,Finance St,2949,Asphalt,Homewood South,9,13,42003130300,2,13,5,3-17,40.45160924,-79.89494915
62663301,30,7546,Finance St,16466,Asphalt,Homewood South,9,13,42003130300,2,13,5,3-17,40.45098876,-79.89332642
1123402373,31,333,Grandview Ave,13597,Asphalt,Mount Washington,2,19,42003190300,5,19,3,4-27,40.43368608,-80.01042849
1446333174,32,236,Grandview Ave,9528,Asphalt,Mount Washington,2,19,42003191400,5,19,3,4-27,40.43265127,-80.00868983
960947689,33,166,Grandview Ave,5426,Asphalt,Mount Washington,2,19,42003190300,5,19,3,4-27,40.43202921,-80.00756618
1745441221,34,1350,Muriel St,1901,Asphalt,South Side Flats,3,17,42003170200,3,17,3,4-24,40.4301299,-79.98473744
539814373,35,1447,Muriel St,16492,Asphalt,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43015818,-79.9837978
472717588,36,1555,Muriel St,337,Asphalt,South Side Flats,3,17,42003170200,3,17,3,4-24,40.43017817,-79.98299314
1535089035,37,,Boundary St,4523,Asphalt,Central Oakland,3,4,42003040600,3,4,4,2-8,40.44074089,-79.94966978
1681038951,38,,Boundary St,4523,Asphalt,Squirrel Hill North,8,4,42003140100,3,4,4,2-8,40.44137371,-79.94921113
1892022841,39,,Boundary St,4523,,Squirrel Hill North,8,4,42003982200,3,4,4,2-8,40.4423873,-79.94841094
905381373,40,,Boundary St,4523,,North Oakland,8,14,42003140100,3,14,4,2-8,40.44319225,-79.94766733
111384140,41,,Boundary St,4523,,Squirrel Hill North,8,14,42003140100,3,14,4,2-8,40.44396796,-79.94714309
207195830,42,3419,Webster Ave,2077,Asphalt,Upper Hill,6,5,42003050600,3,5,2,2-22,40.45525912,-79.96145905
1185081897,43,3440,Webster Ave,2077,Asphalt,Upper Hill,6,5,42003050600,3,5,2,2-22,40.455638,-79.96089855
17647184,44,3473,Webster Ave,2077,Asphalt,Upper Hill,6,5,42003050600,3,5,2,2-22,40.45619942,-79.95998853
443773362,45,3510,Webster Ave,2077,Asphalt,Upper Hill,6,5,42003050600,3,5,2,2-22,40.45671676,-79.95885857
1477322021,46,931,Heberton St,17804,Asphalt,Highland Park,7,11,42003110600,2,11,5,3-9,40.47134258,-79.91577978
1782897983,47,825,Heberton St,12544,Asphalt,Highland Park,7,11,42003110600,2,11,5,3-9,40.46950467,-79.91654665
586776709,48,2150,Beechwood Blvd,19509,Asphalt,Squirrel Hill South,5,14,42003140800,3,14,4,2-21,40.43494296,-79.91239167
728767537,49,2113,Beechwood Blvd,11261,Asphalt,Squirrel Hill South,5,14,42003140800,3,14,4,2-21,40.43548044,-79.91205615
376448676,50,2050,Beechwood Blvd,11261,Asphalt,Squirrel Hill South,5,14,42003140800,3,14,4,2-21,40.43569684,-79.91017861
946114672,51,2051,Beechwood Blvd,19508,Asphalt,Squirrel Hill South,5,14,42003140800,3,14,4,2-21,40.43581747,-79.90941538
651962943,52,2264,Spokane St,11533,Asphalt,Carrick,4,29,42003290400,3,29,3,4-23,40.38899796,-79.98979684
2109927867,53,2230,Spokane St,2779,,Carrick,4,29,42003290400,3,29,3,4-23,40.38975197,-79.99017723
494800222,54,1761,Parkview Blvd,20126,Asphalt,Squirrel Hill South,5,15,42003141400,3,15,4,2-20,40.41625512,-79.92080191
99969678,55,1742,Parkview Blvd,20125,Asphalt,Squirrel Hill South,5,15,42003141400,3,15,4,2-20,40.4163266,-79.92059627
1849226818,56,1556,Parkview Blvd,19232,Asphalt,Squirrel Hill South,5,14,42003141400,3,14,4,2-20,40.41834841,-79.91714082
1255545961,57,1364,Parkview Blvd,19228,Asphalt,Squirrel Hill South,5,14,42003141400,3,14,4,2-20,40.42004057,-79.91531692
2078095266,58,1281,Parkview Blvd,19227,Asphalt,Squirrel Hill South,5,14,42003141400,3,14,4,2-20,40.42063275,-79.91406522
98045273,59,650,Gold Way,1755,Asphalt,North Oakland,6,5,42003562000,3,5,4,2-23,40.4588061,-79.95586674
1998576727,60,114,Venture St,15080,Asphalt,Perry North,1,26,42003260700,1,26,1,1-15,40.48493718,-80.01444039
1009680309,61,225,Venture St,15080,Asphalt,Perry North,1,26,42003260700,1,26,1,1-15,40.48523638,-80.01354632
638539882,62,320,Venture St,15080,Asphalt,Perry North,1,26,42003260700,1,26,1,1-15,40.48519558,-80.01216051
1908632923,63,408,Venture St,3020,Asphalt,Perry North,1,26,42003260700,1,26,1,1-15,40.48522958,-80.01088199
1233595442,64,2105,Mission St,18058,Asphalt,South Side Slopes,3,16,42003160800,3,16,3,4-24,40.42328076,-79.97541381
1381403865,65,2316,Mission St,15541,Asphalt,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.42314805,-79.97297017
932567435,66,2504,Mission St,15541,Asphalt,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.42295271,-79.97194915
1237386520,67,2512,Mission St,15541,Asphalt,South Side Slopes,3,16,42003160800,3,16,3,4-22,40.42276758,-79.97115477
1391879630,68,2212,Spokane St,2779,Asphalt,Carrick,4,29,42003290400,3,29,3,4-23,40.39063538,-79.99063877
942849531,69,169,Parkfield St,7643,Asphalt,Carrick,4,29,42003290100,3,29,3,4-23,40.39127071,-79.98924402
730300347,70,215,Parkfield St,10908,Asphalt,Carrick,4,29,42003290100,3,29,3,4-23,40.3923322,-79.99075102
186519032,71,227,Parkfield St,10908,Asphalt,Carrick,4,29,42003290100,3,29,3,4-23,40.39291709,-79.9910087
604863741,72,5544,Black St,9592,Asphalt,Garfield,9,11,42003111400,2,11,5,3-4,40.46912963,-79.9285766
611252031,73,5512,Black St,9592,Asphalt,Garfield,9,11,42003111400,2,11,5,3-4,40.46950882,-79.92966066
1918921288,74,5365,Mossfield St,19094,Asphalt,Garfield,9,10,42003101600,2,10,5,3-4,40.47130291,-79.93362462
2047879882,75,5343,Mossfield St,19094,Asphalt,Stanton Heights,9,10,42003100500,2,10,5,3-4,40.47201472,-79.93436695
1379652923,76,622,Maytide St,15244,Asphalt,Overbrook,4,32,42003320400,5,32,3,4-23,40.3839836,-79.9906467
965432088,77,378,Maytide St,15244,Asphalt,Carrick,4,29,42003290400,3,29,3,4-23,40.38449785,-79.98649778
724005157,78,217,Maytide St,16410,Asphalt,Carrick,4,29,42003290400,3,29,3,4-23,40.38435854,-79.98262603
1352764849,79,273,Maytide St,16410,Asphalt,Carrick,4,29,42003290400,3,29,3,4-23,40.38444369,-79.98382743
